cs_chr	Attraktion_tgt_chr	n_anchors	Attraktion_mean_anchor_gap_Mb	Attraktion_interp_type	n_segments	Attraktion_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A+Chr1A	3766	0.101	linear+linear+linear+pchip_inverted+pchip_inverted	5	0.93
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4179	0.165	pchip+pchip+pchip_inverted+pchip+linear+pchip_inverted+pchip_inverted	7	0.921
Chr1D	Chr1D	4316	0.115	linear	1	0.971
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5037	0.796	linear+pchip_inverted+pchip_inverted+linear+linear+pchip_inverted+linear+linear+linear+linear	10	0.894
Chr2B	Chr2B+Chr2B	5113	0.177	pchip+linear	2	0.883
Chr2D	Chr2D+Chr2D+Chr2D	5409	0.078	linear+pchip_inverted+linear	3	0.948
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4988	0.12	linear+pchip_inverted+pchip_inverted+pchip+pchip	5	0.967
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5008	0.867	linear+pchip_inverted+linear+pchip_inverted+linear+pchip_inverted	6	0.895
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D	5116	0.137	linear+pchip_inverted+pchip_inverted+linear	4	0.974
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4077	0.347	linear+pchip_inverted+linear+linear+pchip_inverted	5	0.92
Chr4B	Chr4B+Chr4B+Chr4B+Chr4B	3355	0.239	pchip+linear+pchip+linear	4	0.77
Chr4D	Chr4D	3492	0.146	linear	1	0.982
Chr5A	Chr5A+Chr5A+Chr5A	5173	0.104	pchip_inverted+pchip_inverted+linear	3	0.956
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	4967	0.16	pchip_inverted+pchip_inverted+linear+linear+pchip	5	0.891
Chr5D	Chr5D+Chr5D+Chr5D	5377	0.057	pchip+linear+pchip	3	0.975
Chr6A	Chr6A+Chr6A+Chr6A	3731	0.097	linear+linear+linear	3	0.951
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3780	0.258	pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+pchip+pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted+pchip_inverted	11	0.842
Chr6D	Chr6D+Chr6D+Chr6D+Chr6D+Chr6D	3805	0.088	linear+pchip_inverted+pchip_inverted+linear+pchip_inverted	5	0.971
Chr7A	Chr7A+Chr7A	4888	0.113	pchip+linear	2	0.93
Chr7B	Chr7B+Chr7B	3744	0.189	linear+linear	2	0.685
Chr7D	Chr7D	5177	0.123	linear	1	0.969
