cs_chr	Lancer_tgt_chr	n_anchors	Lancer_mean_anchor_gap_Mb	Lancer_interp_type	n_segments	Lancer_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A+Chr1A	4058	0.078	linear+pchip_inverted+linear+pchip_inverted+linear	5	0.952
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4259	0.457	linear+linear+linear+linear+linear+linear	6	0.932
Chr1D	Chr1D+Chr1D+Chr1D+Chr1D+Chr1D	4351	0.072	linear+linear+pchip_inverted+linear+linear	5	0.978
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5103	0.598	linear+pchip_inverted+linear+linear+linear+linear+linear+linear	8	0.892
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	4475	0.267	linear+linear+linear+linear+linear	5	0.73
Chr2D	Chr2D+Chr2D+Chr2D	5374	0.664	linear+linear+linear	3	0.957
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4988	0.114	linear+linear+linear+pchip+pchip	5	0.969
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5025	0.135	linear+linear+linear+linear+linear+linear+pchip_inverted	7	0.9
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D+Chr3D+Chr3D	4881	0.171	linear+linear+pchip_inverted+pchip_inverted+linear+linear	6	0.954
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	3483	0.289	linear+linear+pchip_inverted+linear+linear+linear	6	0.848
Chr4B	Chr4B+Chr4B+Chr4B	3575	0.184	linear+linear+linear	3	0.799
Chr4D	Chr4D+Chr4D	3443	0.121	linear+linear	2	0.985
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	5200	0.14	linear+linear+pchip_inverted+linear+linear+linear+linear	7	0.962
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5106	0.19	linear+linear+linear+linear+pchip_inverted+linear	6	0.919
Chr5D	Chr5D+Chr5D+Chr5D	5402	0.058	linear+pchip+pchip	3	0.976
Chr6A	Chr6A+Chr6A	3839	0.107	linear+pchip	2	0.964
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3890	0.143	linear+linear+linear+linear+pchip_inverted+pchip_inverted+linear	7	0.801
Chr6D	Chr6D+Chr6D+Chr6D+Chr6D+Chr6D+Chr6D	3566	0.114	linear+linear+linear+linear+linear+linear	6	0.941
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A	5017	0.109	linear+pchip_inverted+linear+linear	4	0.948
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B	4293	0.312	linear+linear+linear+linear	4	0.913
Chr7D	Chr7D+Chr7D	5280	0.09	linear+linear	2	0.98
