cs_chr	Sumai3_tgt_chr	n_anchors	Sumai3_mean_anchor_gap_Mb	Sumai3_interp_type	n_segments	Sumai3_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A	4149	0.096	linear+linear+linear	3	0.966
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4301	0.09	linear+pchip+pchip_inverted+linear+pchip+pchip_inverted+pchip	7	0.895
Chr1D	Chr1D	4392	0.113	linear	1	0.986
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5211	0.28	pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear+linear+linear	7	0.896
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5773	0.212	linear+pchip+pchip+pchip+pchip_inverted+pchip_inverted+pchip+linear+pchip_inverted	9	0.956
Chr2D	Chr2D+Chr2D+Chr2D	5611	0.069	pchip_inverted+linear+pchip	3	0.978
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A	5004	0.125	linear+pchip_inverted+linear+pchip	4	0.969
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5421	0.135	pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear+pchip_inverted	6	0.942
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D+Chr3D	5082	0.139	linear+linear+pchip_inverted+pchip_inverted+linear	5	0.979
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	3654	0.302	pchip_inverted+pchip_inverted+linear+pchip_inverted+linear+linear	6	0.866
Chr4B	Chr4B+Chr4B+Chr4B	3649	0.589	pchip+linear+linear	3	0.887
Chr4D	Chr4D+Chr4D+Chr4D	3544	0.081	linear+pchip_inverted+pchip_inverted	3	0.991
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A	5279	0.117	pchip_inverted+pchip_inverted+pchip_inverted+linear	4	0.982
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5269	0.201	pchip+pchip_inverted+linear+pchip+linear	5	0.941
Chr5D	Chr5D+Chr5D	5446	0.071	linear+pchip	2	0.985
Chr6A	Chr6A+Chr6A	3909	0.094	linear+pchip_inverted	2	0.97
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	4012	0.241	pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted+linear	6	0.902
Chr6D	Chr6D+Chr6D	3416	0.112	pchip_inverted+linear	2	0.937
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A	5081	0.108	pchip_inverted+linear+pchip_inverted+linear	4	0.954
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B	4341	0.157	linear+linear+linear+linear	4	0.935
Chr7D	Chr7D+Chr7D+Chr7D+Chr7D+Chr7D	5265	0.065	pchip_inverted+pchip+linear+pchip_inverted+pchip_inverted	5	0.986
